Jogos disputados;;;;
90;;;;
Média de gols por jogo;;;;
2,27;;;;
Gols marcados;;;;
204;;;;
Ambas as equipes marcaram;;;;
42;;;;
;Resultado do jogo ;Torneio;Fase;Estádio
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;2;;;
13/jul/22;África do Sul;COSAFA Senior Challenge Cup 2022;Segunda fase;Princess Magogo Stadium
;África do Sul;;;
;;;;
;Moçambique;;;
;Moçambique;;;
;;;;
;Final de partida;;;
;-4;;;
;0;;;
;-5;;;
;0;;;
09/jun/22;Marrocos;CAN 2023 Prel. Comp.;Qualifying Round;Complexo Esportivo Príncipe Moulay Abdellah
;Marrocos;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
29/mar/22;França;Friendly 2022;-;Stade Pierre-Mauroy
;França;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;5;;;
;0;;;
25/mar/22;África do Sul;Friendly 2022;-;Guldensporen Stadion
;África do Sul;;;
;;;;
;Guiné;;;
;Guiné;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
14/nov/21;Gana;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Novo Estádio de Cape Coast
;Gana;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
11/nov/21;África do Sul;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Estádio Soccer City
;África do Sul;;;
;;;;
;Zimbábue;;;
;Zimbábue;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
12/out/21;África do Sul;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Estádio Soccer City
;África do Sul;;;
;;;;
;Etiópia;;;
;Etiópia;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
09/out/21;Etiópia;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Estádio Internacional Bahir Dar
;Etiópia;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;3;;;
06/set/21;África do Sul;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Estádio Soccer City
;África do Sul;;;
;;;;
;Gana;;;
;Gana;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
03/set/21;Zimbábue;Eliminatórias da Copa do Mundo da FIFA 2022 - CAF;2ª fase;Estádio Nacional de Esportes
;Zimbábue;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
18/jul/21;Senegal;COSAFA Senior Challenge Cup 2021;Segunda fase;Estádio de Port Elizabeth
;Senegal;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;-4;;;
;0;;;
;-5;;;
;0;;;
16/jul/21;África do Sul;COSAFA Senior Challenge Cup 2021;Segunda fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Moçambique;;;
;Moçambique;;;
;;;;
;Final de partida;;;
;3;;;
;0;;;
14/jul/21;África do Sul;COSAFA Senior Challenge Cup 2021;Primeira fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Zâmbia;;;
;Zâmbia;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
13/jul/21;África do Sul;COSAFA Senior Challenge Cup 2021;Primeira fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Lesoto;;;
;Lesoto;;;
;;;;
;Final de partida;;;
;4;;;
;0;;;
08/jul/21;África do Sul;COSAFA Senior Challenge Cup 2021;Primeira fase;Wolfson Stadium
;África do Sul;;;
;;;;
;Essuatíni;;;
;Essuatíni;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
06/jul/21;África do Sul;COSAFA Senior Challenge Cup 2021;Primeira fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Botsuana;;;
;Botsuana;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
10/jun/21;África do Sul;Friendly 2021;-;Estádio de Orlando
;África do Sul;;;
;;;;
;Uganda;;;
;Uganda;;;
;;;;
;Final de partida;;;
;3;;;
;2;;;
28/mar/21;Sudão;CAN 2021 Prel. Comp.;Qualifying Round;Estádio Al-Hilal
;Sudão;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
25/mar/21;África do Sul;CAN 2021 Prel. Comp.;Qualifying Round;Estádio Soccer City
;África do Sul;;;
;;;;
;Gana;;;
;Gana;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
16/nov/20;São Tomé e Príncipe;CAN 2021 Prel. Comp.;Qualifying Round;Estádio de Port Elizabeth
;São Tomé e Príncipe;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;4;;;
13/nov/20;África do Sul;CAN 2021 Prel. Comp.;Qualifying Round;Estádio Soccer City
;África do Sul;;;
;;;;
;São Tomé e Príncipe;;;
;São Tomé e Príncipe;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
08/out/20;África do Sul;Friendly 2020;-;Estádio Royal Bafokeng
;África do Sul;;;
;;;;
;Namíbia;;;
;Namíbia;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
